,tripNr,mode,total_distance_m,total_duration_s,vel_corr_mean,vel_mean,acc_mean,acc_max
0,140617,Run,655.607087,241.88999,9.618836136,9.618836136,-0.046969118,0.882482337
1,140617.001,Walking,257.1661031,193.629993,4.687924572,4.687924572,-0.046502649,0.93739508
2,140617.002,Run,741.7989734,275.979984,9.768308423,9.768308423,-0.036079188,2.292924169
3,140617.003,Walking,227.2776188,165.599995,4.735657487,4.735657487,-0.196216771,0.261479285
4,140617.004,Run,786.3207331,285.019987,9.60941895,9.60941895,0.000972573,1.59634079
5,140617.005,Walking,301.4135047,244.899987,4.195428896,4.195428896,0.118199398,3.384984063
6,140617.006,Walking,1103.39748,785.829971,4.919328963,4.919328963,-0.038023406,1.133040362
7,140617.007,Walking,2141.283894,1514.459947,5.257678655,5.257678655,-0.056539848,1.317537624
8,140617.008,Still,125.1395084,714.949976,0.864558116,0.864558116,-0.096500566,1.270309646
9,140617.009,Walking,885.7482155,752.56997,4.448401836,4.448401836,-0.024199548,1.526341808
10,140617.01,Still,382.8286616,838.62998,1.780105424,1.780105424,-0.08844,2.109702564
11,140617.011,Walking,779.4876476,443.549985,6.501375105,6.501375105,-0.016489053,1.56689772
12,140617.012,Bus,1016.759632,225.789993,17.70021903,17.70021903,-1.257743118,4.089626139
13,140617.013,Walking,200.0625616,100.289996,7.666952529,7.666952529,-0.536529018,3.169080928
14,140617.014,Walking,112.6128446,206.789995,1.74830072,1.74830072,-0.052916015,0.489696705
15,140617.015,Walking,57.01559035,33.099999,4.406927904,4.406927904,-0.178381638,0.334588288
16,140617.016,Walking,128.1187035,81.259998,4.82133047,4.82133047,-0.177338523,0.410924446
17,140617.017,Still,79.32469653,309.039986,1.070621717,1.070621717,-0.126881564,0.359174457
18,140617.018,Bus,1645.05865,448.329986,10.69528311,10.69528311,0.003686989,2.555728424
19,140617.019,Bus,675.302258,321.939989,7.371709058,7.371709058,-0.245318968,1.836897306
20,140617.02,Walking,423.8835082,327.169987,4.62718414,4.62718414,-0.113705696,1.735540425
21,140617.021,Still,1.829176533,17.059999,0.183502845,0.183502845,-0.061167615,0
22,140617.022,Walking,925.7985923,743.579975,4.355004416,4.355004416,-0.021533404,0.625273495
23,140617.023,Still,64.51642004,490.759981,0.495079338,0.495079338,0.001852295,0.574162471
24,140617.024,Walking,288.2348379,226.829992,4.392607457,4.392607457,0.137070958,4.201786863
25,140617.025,Still,19.06727358,155.579994,0.540413533,0.540413533,-0.056102471,0.219106787
26,140617.026,Bus,1756.787757,705.949978,8.477723838,8.477723838,0.093238054,19.0831552
27,140617.027,Walking,166.4655096,161.649992,4.182836849,4.182836849,-0.059119528,0.886608521
28,140617.028,Bike,8756.136625,2767.009897,11.31380343,11.31380343,-0.026550592,4.375509293
29,140617.029,Walking,155.1607024,158.629992,2.644347081,2.644347081,-0.035431866,0.571089484
30,140617.03,Walking,67.77604552,73.259995,2.975099149,2.975099149,-0.161493778,2.007153453
31,140617.033,Walking,143.5285734,149.559995,2.929073908,2.929073908,-0.003707992,0.735991502
32,140617.034,Bike,4710.458414,1505.729946,11.28350251,11.28350251,0.003435319,5.120412611
33,140617.035,Still,101.9788301,446.139981,0.746906715,0.746906715,-0.009048114,0.727359487
34,140617.036,Bike,2101.968262,831.539966,9.004005048,9.004005048,0.02877811,4.614297438
35,140617.037,Still,179.9186097,597.559973,1.16161131,1.16161131,-0.022588137,1.733147229
36,140617.038,Bike,4847.652667,1779.309929,9.874700093,9.874700093,-0.111287073,3.887630424
37,140617.039,Walking,804.0552897,610.109974,4.811745283,4.811745283,0.042404985,2.861385096
38,140617.04,unlabelled,24685.27406,32001.87978,1.156548668,1.156548668,-0.016081213,3.432891764
39,140717,Walking,1750.494499,1271.359968,5.126723225,5.126723225,-0.031708171,2.466766734
40,140717.001,Train,9844.236118,683.129978,48.68059964,48.68059964,0.117074809,3.740902506
41,140717.003,Walking,199.3756061,183.539997,3.541831545,3.541831545,-0.047361535,0.092034876
42,140717.004,Walking,5.268872097,4.049999,0,0,0,0
43,140717.006,Subway,5519.627899,774.969984,24.63906118,24.63906118,-0.001994507,4.122346926
44,140717.007,Walking,5.391746614,3.01,0,0,0,0
45,140717.008,Subway,21295.87859,2731.039985,32.05786594,32.05786594,-0.283384645,2.833014029
46,140717.009,Walking,12.55418,9.039999,2.4213897,2.4213897,-0.804448673,0
47,140717.011,Still,42.24607553,227.819994,0.852834992,0.852834992,0.0024973,0.401756091
48,140717.012,Subway,8493.63553,1010.659994,19.16726044,19.16726044,0.045961628,3.400563521
49,140717.013,Walking,118.3040245,156.379997,2.863745855,2.863745855,-0.505160427,0.319696625
50,140717.014,Train,732.5430244,39.129999,46.5212134,46.5212134,0.21543721,5.507495001
51,140717.015,Walking,38.66714872,70.239997,2.562120026,2.562120026,0.027618611,1.947824332
52,140717.016,Walking,260.1880184,219.789993,5.096834599,5.096834599,-0.270417538,0.635537569
53,140717.017,Still,64.29184673,563.939984,0.446838375,0.446838375,-0.029771361,0.123424445
54,140717.018,Walking,414.0643682,311.03999,4.676469042,4.676469042,-0.054290658,0.552053879
55,140717.019,Still,23.17818215,382.329994,0.303594181,0.303594181,0.024060045,1.0388299
56,140717.021,Train,107.0200457,29.04,6.728075931,6.728075931,0.271196822,0.67963065
57,140717.023,Walking,121.0265953,53.209999,7.274471048,7.274471048,-0.554902849,0.592714952
58,140717.024,Subway,1190.730387,210.639993,15.2419089,15.2419089,-0.217013369,0.54317489
59,140717.031,Train,17355.75928,1067.939978,45.37862576,45.37862576,-0.049002178,2.925416105
60,140717.032,Walking,94.86266357,95.319996,3.649003354,3.649003354,-0.009284276,0.687669447
61,140717.033,Walking,224.7274484,163.649998,4.760742644,4.760742644,-0.042083588,3.089032368
62,140717.035,Walking,435.2071406,309.09999,4.742742578,4.742742578,-0.022998374,0.643405097
63,140717.036,Still,18.47499744,147.549996,0.468908407,0.468908407,-0.029409736,0.026162786
64,140717.037,Bus,2353.841638,895.829981,9.085763666,9.085763666,0.144608992,4.997593435
65,140717.038,Walking,91.08279911,49.169999,5.227495095,5.227495095,-0.322433933,0
66,140717.039,Still,77.27241691,331.909996,1.513133708,1.513133708,-0.464249726,1.349243962
67,140717.04,unlabelled,171820.4278,25423.65992,2.663240427,2.663240427,-0.024779284,4.977315735
68,180717,Walking,464.6841659,312.099992,5.473880371,5.473880371,-0.28661207,0.40069257
69,180717.001,Bus,2171.488805,724.109969,10.63741149,10.63741149,0.021201637,4.726567162
70,180717.002,Walking,77.98674254,55.259998,4.361235155,4.361235155,-0.050116643,0.641729658
71,180717.003,Walking,58.01422906,50.179997,4.192141352,4.192141352,-0.906824334,0.871425931
72,180717.004,Walking,417.1784099,245.869986,6.096067182,6.096067182,-0.011482043,0.776522521
73,180717.005,Car,25677.11137,2128.259912,45.58471184,45.58471184,-0.147279232,4.836028236
74,180717.006,Car,26313.78522,2215.0999,42.16471027,42.16471027,0.065419675,4.702735997
75,180717.007,Still,216.2842615,220.579995,2.296653907,2.296653907,0.125238513,2.797156128
76,180717.008,Car,7945.488143,766.469958,38.06910158,38.06910158,0.143167744,4.585259708
77,180717.01,Still,168.2089592,1433.759993,1.053139486,1.053139486,0.016905941,1.909686888
78,180717.011,Walking,167.8913257,89.319994,6.424400425,6.424400425,-0.23630663,1.517993418
79,180717.012,Walking,45.76503126,53.559998,2.39931921,2.39931921,-0.342990798,0.929589821
80,180717.013,Car,30315.90071,1701.409924,65.99561722,65.99561722,-0.142218505,4.637751398
81,180717.014,Walking,1030.08112,898.109969,4.185695517,4.185695517,-0.050749072,1.838598139
82,180717.015,Still,42.6509895,334.119988,0.559555244,0.559555244,0.022243718,1.371749443
83,180717.016,Car,28503.50261,2314.349907,42.67809117,42.67809117,0.011080546,4.859160774
84,180717.017,Walking,146.1101946,292.069989,2.442539734,2.442539734,-0.108316916,0.972191795
85,180717.018,Car,12517.27404,1237.999951,35.71155269,35.71155269,0.011754552,4.203938014
86,180717.019,Still,543.4284844,1789.76993,1.397267403,1.397267403,-0.067719972,4.765856742
87,180717.02,unlabelled,45897.13847,14978.88982,1.980998412,1.980998412,-0.034318924,4.790556158
88,220617,Walking,489.629937,324.889981,5.161476757,5.161476757,0.142287556,7.181507278
89,220617.001,Still,6.828075977,205.61999,0.146655697,0.146655697,-0.03007382,0.130548152
90,220617.002,Bus,881.54625,361.759986,9.300426676,9.300426676,-0.187889049,4.054434379
91,220617.003,Walking,467.3567199,338.099981,5.279130498,5.279130498,-0.157758362,1.385110597
92,220617.004,Car,2422.761498,438.049979,19.83821005,19.83821005,0.076808946,4.726868906
93,220617.005,Car,15797.18637,2194.059891,26.81341794,26.81341794,-0.058238777,4.973041072
94,220617.007,Car,1984.976957,360.889985,14.09925657,14.09925657,-0.063043976,4.163829439
95,220617.008,Car,26445.82898,1739.239905,57.1446024,57.1446024,0.122670541,5.688432216
96,220617.009,Walking,531.038978,453.339975,4.194753191,4.194753191,0.064416997,1.838648071
97,220617.01,Walking,1108.577015,1141.72994,3.491130751,3.491130751,0.014536524,3.27972843
98,220617.011,Walking,705.911128,673.159955,3.747304715,3.747304715,0.041997785,2.51140299
99,220617.012,Walking,616.5791562,562.829969,3.85559647,3.85559647,0.036542602,4.152104867
100,220617.013,Car,8085.851497,598.43997,50.12185506,50.12185506,-0.395702279,3.038149274
101,220617.014,Car,2112.003012,114.299997,61.13677932,61.13677932,0.377617575,4.621753902
102,220617.015,Car,3221.741964,262.619989,37.4696814,37.4696814,0.253874426,4.947051711
103,220617.016,Run,2815.077166,1209.079934,8.249538257,8.249538257,-0.040828698,3.194615488
104,220617.017,Walking,482.1139411,323.009987,5.093610714,5.093610714,-0.001187764,1.731408973
105,220617.018,Car,4400.061789,438.059978,35.58993136,35.58993136,0.415311239,26.79318711
106,220617.019,Car,1586.602988,232.539985,24.40870089,24.40870089,0.33042948,4.822755478
107,220617.02,unlabelled,45134.06693,36532.42939,1.973966165,1.973966165,-0.026646257,4.342417751
108,260617,Walking,429.8467231,331.019991,4.612415166,4.612415166,-0.011625914,0.534650075
109,260617.001,Still,4.784281388,290.929991,0.060393914,0.060393914,-0.003976835,0.011367361
110,260617.002,Bus,2791.724559,1189.569973,9.969987105,9.969987105,0.072296928,4.712299649
111,260617.003,Bus,706.9268203,291.799996,6.135680763,6.135680763,-0.937101493,3.14662343
112,260617.004,Run,159.4896524,76.189998,6.323023461,6.323023461,-0.387493142,0.101478774
113,260617.005,Bus,6716.825425,1338.829962,18.01089559,18.01089559,-0.339557147,3.479439388
114,260617.006,Walking,35.30213444,30.089999,3.502454236,3.502454236,-0.3023653,0
115,260617.007,Still,33.72597398,635.849983,0.265278997,0.265278997,-0.016373338,0.496422851
116,260617.008,Bus,4661.507368,788.649982,23.89789175,23.89789175,-0.052273077,4.958267251
117,260617.009,Bus,1834.745032,459.009994,9.440559009,9.440559009,0.132999715,2.636648296
118,260617.01,Bus,847.4565819,332.779989,8.453281546,8.453281546,-0.334070173,3.067263065
119,260617.011,Bus,2736.472507,536.229988,12.53380898,12.53380898,0.063089244,5.344683668
120,260617.012,Walking,963.405771,708.229983,4.902435422,4.902435422,-0.13140541,2.445150833
121,260617.013,Bus,2187.644996,659.479989,11.17611779,11.17611779,-0.019031404,2.630842621
122,260617.014,Walking,172.4980467,133.419996,4.623083207,4.623083207,-0.07084897,0.381225777
123,260617.015,Bike,3201.767128,837.789982,11.8308974,11.8308974,-0.116874377,4.209536899
124,260617.017,Bike,1453.756575,440.059991,11.82611553,11.82611553,-0.11956063,2.964899567
125,260617.018,Bike,3292.789987,605.499988,20.37335301,20.37335301,-0.5983203,1.978168269
126,260617.019,Bus,2174.859465,543.269988,15.44362668,15.44362668,-0.307667968,3.701006883
127,260617.02,Walking,546.0003818,398.28999,4.794446796,4.794446796,-0.029181405,0.941993447
128,260617.021,Bus,1638.948802,537.079984,8.717249794,8.717249794,-0.055196673,3.120267693
129,260617.022,Walking,2298.894733,1898.639942,4.329411651,4.329411651,0.064659072,4.180811763
130,260617.023,Bike,514.5287271,190.509994,9.77155639,9.77155639,0.191720115,2.57519925
131,260617.024,Bike,2078.935617,613.729985,12.48907417,12.48907417,0.007499599,3.698124597
132,260617.025,unlabelled,42319.24067,36915.61989,2.087129779,2.087129779,-0.002209415,3.663598184
133,270617,Bike,2183.501414,482.079981,16.16457154,16.16457154,-0.231607465,3.961210998
134,270617.001,Train,17565.77271,1316.839951,43.85651426,43.85651426,-0.066643506,4.672592953
135,270617.002,Walking,38.8540554,29.089997,3.811678331,3.811678331,-0.153601566,0.871899974
136,270617.003,Subway,64.35977481,8.02,0,0,0,0
137,270617.004,Subway,5773.224262,541.279982,38.16018383,38.16018383,-0.167228153,3.133468968
138,270617.005,Still,10.28260814,68.229999,0.482354719,0.482354719,0.095749174,0.92899677
139,270617.006,Subway,5332.861612,409.149984,47.10859217,47.10859217,-0.571768777,4.166820012
140,270617.008,Subway,3939.333818,350.739979,41.16004422,41.16004422,-0.361695283,4.754030439
141,270617.009,Subway,1968.236598,389.99998,21.43410144,21.43410144,-0.128805207,2.371405533
142,270617.01,Still,11.7945921,71.249997,0.53832891,0.53832891,-0.043191556,0.316882907
143,270617.011,Subway,3471.140858,661.389968,22.98525178,22.98525178,-0.122527071,4.165900657
144,270617.012,Walking,191.8432798,196.579988,3.325437314,3.325437314,-0.143317561,1.309055468
145,270617.013,Train,8190.084546,1104.559949,25.19496241,25.19496241,-0.28347185,3.422252391
146,270617.014,Train,2473.872693,158.289991,62.30127923,62.30127923,1.59140167,22.05046355
147,270617.015,Still,93.69111111,403.22998,0.811630817,0.811630817,-0.016170116,1.3698436
148,270617.016,Train,4998.601243,418.959975,37.22576278,37.22576278,-0.068759424,3.087619341
149,270617.017,Bike,1915.268821,550.479969,13.21024318,13.21024318,-0.066535088,2.86815434
150,270617.018,Still,102.1416932,106.629994,2.322997158,2.322997158,-0.227068959,0.717634901
151,270617.019,unlabelled,89092.38484,25056.1498,1.603453468,1.603453468,-0.021524108,4.220119844
